year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,Bed Length,Motor,Reported by AutoCheck® View History Report,31 City / 40 Hwy,Coverage up to 150000 odometer miles or 48 months Learn More,Prior Use,"Under 20,000 Miles","Balance of 3 Years or 36,000 Miles may apply. See store for details Learn More",Coverage up to 150000 odometer miles or 60 months Learn More,"Third Row Seat, Automated Cruise Control, Leather Seats, Sunroof(s), Apple CarPlay",29 City / 37 Hwy,Range (when new),Time to fully charge battery (240V),"Less than 9,000 miles per year",27 City / 36 Hwy,Take a closer look at the interior and exterior condition of this car. View Photos
2014,Honda,Civic LX,18998,11000,30 city/39 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,Civic SI,24998,56000,26 city/36 hwy,,,,Manual 6 Speed,Gray/Black,,,,,,,,,,,,,,,,
2016,Honda,CR-V EX,16998,97000,26 city/32 hwy,,,,Automatic,Gray/Gray,,,,,,,,,,,,,,,,
2016,Honda,CR-V LX,14998,100000,25 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,,,,,,,,,,,,,,,,
2016,Honda,Civic EX,16998,102000,31 city/41 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2019,Honda,Civic LX,16998,91000,30 city/38 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,25998,38000,28 city/34 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Silver/Gray,,,,,,,,,,,,,,,,
2018,Honda,Civic EX,19998,87000,31 city/40 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2015,Honda,Accord EX-L,15998,116000,27 city/36 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Gray/Black,,,,,,,,,,,,,,,,
2020,Honda,CR-V EX,26998,31000,27 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Gray,,,,,,,,,,,,,,,,
2020,Honda,Civic Sport,20998,58000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,,,,,,,,,,,,,,,,
2022,Honda,HR-V EX,22998,40000,27 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,,,Single Owner,,,None,,,Optional MaxCare® plan,,,,,,,
2013,Honda,Accord EX,17998,55000,24 city/34 hwy,,,,Automatic,Silver/Black,,,,,,,,,,,,,,,,
2018,Honda,Civic Sport,18998,90000,30 city/38 hwy,4-cyl,Turbo Gas,Front Wheel Drive,Automatic,Blue/Black,,,,,,,,,,,,,,,,
